4033,the,=GOOGLETRANSLATE(B1; "en"; "uk")
3688,,=GOOGLETRANSLATE(B2; "en"; "uk")
2734,to,=GOOGLETRANSLATE(B3; "en"; "uk")
2503,and,=GOOGLETRANSLATE(B4; "en"; "uk")
2382,a,=GOOGLETRANSLATE(B5; "en"; "uk")
2014,her,=GOOGLETRANSLATE(B6; "en"; "uk")
1636,he,=GOOGLETRANSLATE(B7; "en"; "uk")
1568,you,=GOOGLETRANSLATE(B8; "en"; "uk")
1563,i,=GOOGLETRANSLATE(B9; "en"; "uk")
1525,of,=GOOGLETRANSLATE(B10; "en"; "uk")
1517,his,=GOOGLETRANSLATE(B11; "en"; "uk")
1318,in,=GOOGLETRANSLATE(B12; "en"; "uk")
1294,she,=GOOGLETRANSLATE(B13; "en"; "uk")
1106,was,=GOOGLETRANSLATE(B14; "en"; "uk")
943,it,=GOOGLETRANSLATE(B15; "en"; "uk")
790,with,=GOOGLETRANSLATE(B16; "en"; "uk")
747,liam,=GOOGLETRANSLATE(B17; "en"; "uk")
733,that,=GOOGLETRANSLATE(B18; "en"; "uk")
706,for,=GOOGLETRANSLATE(B19; "en"; "uk")
703,had,=GOOGLETRANSLATE(B20; "en"; "uk")
661,daisy,=GOOGLETRANSLATE(B21; "en"; "uk")
638,him,=GOOGLETRANSLATE(B22; "en"; "uk")
628,on,=GOOGLETRANSLATE(B23; "en"; "uk")
508,at,=GOOGLETRANSLATE(B24; "en"; "uk")
465,be,=GOOGLETRANSLATE(B25; "en"; "uk")
446,but,=GOOGLETRANSLATE(B26; "en"; "uk")
443,have,=GOOGLETRANSLATE(B27; "en"; "uk")
429,my,=GOOGLETRANSLATE(B28; "en"; "uk")
427,up,=GOOGLETRANSLATE(B29; "en"; "uk")
415,out,=GOOGLETRANSLATE(B30; "en"; "uk")
412,me,=GOOGLETRANSLATE(B31; "en"; "uk")
397,when,=GOOGLETRANSLATE(B32; "en"; "uk")
385,is,=GOOGLETRANSLATE(B33; "en"; "uk")
384,what,=GOOGLETRANSLATE(B34; "en"; "uk")
379,as,=GOOGLETRANSLATE(B35; "en"; "uk")
359,your,=GOOGLETRANSLATE(B36; "en"; "uk")
355,said,=GOOGLETRANSLATE(B37; "en"; "uk")
350,not,=GOOGLETRANSLATE(B38; "en"; "uk")
342,about,=GOOGLETRANSLATE(B39; "en"; "uk")
342,were,=GOOGLETRANSLATE(B40; "en"; "uk")
338,so,=GOOGLETRANSLATE(B41; "en"; "uk")
321,if,=GOOGLETRANSLATE(B42; "en"; "uk")
318,from,=GOOGLETRANSLATE(B43; "en"; "uk")
318,this,=GOOGLETRANSLATE(B44; "en"; "uk")
312,one,=GOOGLETRANSLATE(B45; "en"; "uk")
307,would,=GOOGLETRANSLATE(B46; "en"; "uk")
294,didnt,=GOOGLETRANSLATE(B47; "en"; "uk")
289,just,=GOOGLETRANSLATE(B48; "en"; "uk")
289,no,=GOOGLETRANSLATE(B49; "en"; "uk")
288,been,=GOOGLETRANSLATE(B50; "en"; "uk")
278,we,=GOOGLETRANSLATE(B51; "en"; "uk")
270,they,=GOOGLETRANSLATE(B52; "en"; "uk")
270,an,=GOOGLETRANSLATE(B53; "en"; "uk")
267,back,=GOOGLETRANSLATE(B54; "en"; "uk")
266,all,=GOOGLETRANSLATE(B55; "en"; "uk")
253,over,=GOOGLETRANSLATE(B56; "en"; "uk")
252,like,=GOOGLETRANSLATE(B57; "en"; "uk")
240,who,=GOOGLETRANSLATE(B58; "en"; "uk")
238,could,=GOOGLETRANSLATE(B59; "en"; "uk")
238,do,=GOOGLETRANSLATE(B60; "en"; "uk")
